NOTATION,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403546,418190,'006500020012      ,"2830 STANTON AV
CINCINNATO, OH
(39.13079929019903, -84.49202400951211)"
CONDEMNATION,PREPROS ,CBHCODE ,VACANT  ,N,1403546,418190,'006500020012      ,"2830 STANTON AV
CINCINNATO, OH
(39.13079929019903, -84.49202400951211)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1403581,418345,'006500020014      ,"2842 STANTON AV
CINCINNATO, OH
(39.13107463690686, -84.49199502564812)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1403581,418345,'006500020014      ,"2842 STANTON AV
CINCINNATO, OH
(39.13107463690686, -84.49199502564812)"
CONDEMNATION,INTAKE  ,CBHCODEC,VACANT  ,N,1403642,419379,'006500010120      ,"3046 STANTON AV
CINCINNATO, OH
(39.13386282855587, -84.49170865710983)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1402446,416240,'006800020315      ,"654 WAYNE ST
CINCINNATO, OH
(39.12517840945668, -84.49567653795634)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1403008,416196,'006800030080      ,"734 WAYNE ST
CINCINNATO, OH
(39.125050194528576, -84.4934752005435)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403008,416196,'006800030079      ,"734 WAYNE ST
CINCINNATO, OH
(39.125050194528576, -84.4934752005435)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1403185,416168,'006800030146      ,"744 WAYNE ST
CINCINNATO, OH
(39.12503179997669, -84.49315496239284)"
KEEP THE BUILDING VACANT ,ORDERS  ,CBHCODEC,VACANT  ,N,1404320,416899,'006700030068      ,"910 WILLIAM H TAFT RD
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT ,CRIMINAL,CBHCODEC,VACANT  ,N,1404900,416665,'006700030059      ,"1027 WILLIAM H TAFT RD
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
